,Title,Employer,Location,Deadline
79,                                        Suradnik u CRM odjelu (m/ž)                                    ,Lidl Hrvatska d.o.o. k.d.,Velika Gorica,26.01.2024.
80,                                        Sistem administrator (m/ž)                                    ,Makromikro grupa d.o.o.,Velika Gorica,21.01.2024.
81,                                        Web administrator (m/ž)                                    ,DE TEMPORE d.o.o.,Zagreb,21.01.2024.
82,                                        Inženjer za mrežne tehnologije podatkovnih centara (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,19.01.2024.
83,                                        Specijalist za baze podataka (m/ž)                                    ,Addiko Bank d.d.,Osijek,18.01.2024.
84,                                        ICT mrežni administrator - inženjer (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,15.01.2024.
85,                                        Salesforce Developer mid/senior (m/ž)                                    ,HSM Informatika d.o.o.,Zagreb,15.01.2024.
86,                                        IT specijalist (m/ž)                                    ,Perutnina Ptuj - Pipo d.o.o.,Čakovec,14.01.2024.
87,                                        Tehničar za telekomunikacije (m/ž)                                    ,Hrvatski Telekom,"Rovinj, Crikvenica, Rijeka, Buzet, Zadar, Split, Kaštela, Brač, Dubrovnik, Velika Gorica, Osijek, Varaždin, Zagreb, Sisak, Valpovo, Donji Miholjac, Čakovec",13.01.2024.
88,                                        PHP Backend Developer (m/f)                                    ,ch-aviation services d.o.o.,Zagreb,30.01.2024.
89,                                        Suradnik za podršku korisnicima (m/ž)                                    ,Croatia banka d.d.,Zagreb,25.01.2024.
90,                                        Digital Workplace Technologies Expert (m/f)                                    ,Coca-Cola HBC Hrvatska d.o.o.,Zagreb,22.01.2024.
91,                                        BI Expert - Coordinator (m/f/d)                                    ,SELECTIO d.o.o.,Trebnje (Slovenija),22.01.2024.
92,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
93,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
94,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
95,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
96,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
97,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
98,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
99,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
100,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
101,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
102,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
103,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
104,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
105,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
106,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
107,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
108,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
109,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
110,                                        Service Delivery Director (m/f/d)                                    ,SELECTIO d.o.o.,Zagreb or Pula,13.01.2024.
111,                                        Senior Web Designer (m/f)                                    ,Kriisp d.o.o,Zagreb,13.01.2024.
112,                                        Specijalist za koordinaciju priključenja (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
113,                                        Tehničar za podršku korisnicima (m/ž)                                    ,Wiener osiguranje Vienna Insurance Group d.d.,Split,22.01.2024.
