,Title,Employer,Location,Deadline
47,                                        Serviser produkcijskih uređaja (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,21.01.2024.
48,                                        Specijalist odgovora na incidente kibernetičke sigurnosti (m/ž)                                    ,Zagrebačka banka d.d.,"Zagreb, Split, Osijek, Varaždin",09.02.2024.
49,                                        Servisni tehničar (m/ž)                                    ,PRIMARK d.o.o. za označivanje proizvoda i ambalaže i trgovinu,Zagreb,19.01.2024.
50,                                        Tehničar za telekomunikacije (m/ž)                                    ,Electus DGS d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Brač, Buzet, Velika Gorica, Čakovec, Valpovo, Donji Miholjac, Kaštela, Crikvenica, Zadar",17.01.2024.
51,                                        Viši stručni suradnik u Supply Chain Managementu (m/ž)                                    ,Kaufland Hrvatska k.d.,Zagreb,15.01.2024.
52,                                        Sistem inženjer za sigurnosne mrežne tehnologije (m/ž)                                    ,Sedam IT d.o.o.,Zagreb,17.01.2024.
53,                                        Product Marketing Expert (f/m)                                    ,A1,Zagreb,13.01.2024.
54,                                        IT tehničar / inženjer podrške  - Junior/Senior (m/ž)                                    ,CALLIDUS GRUPA društvo s ograničenom odgovornošću za poslovno savjetovanje,Zagreb,13.01.2024.
55,                                        Projektant - telecom / brodska elektronika (m/ž)                                    ,Navis Consult d.o.o.,"Rijeka, Pula, Split",16.01.2024.
56,                                        Tehničar za telekomunikacije (m/ž)                                    ,Smart Flex d.o.o.,"Zagreb, Rijeka, Split, Rovinj, Dubrovnik, Sisak, Buzet, Kaštel , Velika Gorica, Crikvenica, Brač, Zadar, Čakovec, Valpovo, Donji Miholjac",02.02.2024.
57,                                        Full Stack Developer (m/ž)                                    ,mStart plus d.o.o.,Zagreb,22.01.2024.
58,                                        Senior Microsoft Administrator (d/m/f)                                    ,Stratus sustavi d.o.o.,Zagreb,22.01.2024.
59,                                        Poslovni konzultant / analitičar - IOT (m/ž)                                    ,Omega software d.o.o.,Zagreb,21.01.2024.
60,                                        Operater za online casino (m/ž)                                    ,Adria Casino d.o.o.,Sesvete,20.01.2024.
61,                                        IT inženjer za komunikacijske sustave - ekspert (m/ž)                                    ,Financijska agencija,Zagreb,18.01.2024.
62,                                        System Administrator - Broadcast IT (m/f)                                    ,RTL Hrvatska d.o.o.,Zagreb,18.01.2024.
63,                                        Sistem analitičar ili IT arhitekt (m/ž)                                    ,"HBOR, Hrvatska banka za obnovu i razvitak",Zagreb,15.01.2024.
64,                                        Tehničar za telekomunikacije (m/ž)                                    ,Datakom j.d.o.o. za telekomunikacije,Zagreb,14.01.2024.
65,                                        Service Delivery Director (m/f/d)                                    ,SELECTIO d.o.o.,Zagreb or Pula,13.01.2024.
66,                                        Senior Web Designer (m/f)                                    ,Kriisp d.o.o,Zagreb,13.01.2024.
67,                                        Specijalist za koordinaciju priključenja (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
68,                                        Tehničar za podršku korisnicima (m/ž)                                    ,Wiener osiguranje Vienna Insurance Group d.d.,Split,22.01.2024.
69,                                        Post Security Manager / IT Support Officer (m/f)                                    ,British Embassy Zagreb,Zagreb,01.02.2024.
70,                                        Revenue Management Intern (m/f/x)                                    ,Best Solutions d.o.o.,"Opatija, Lovran",21.01.2024.
71,                                        BI Specialist (m/ž)                                    ,Telemach Hrvatska d.o.o.,Zagreb,19.01.2024.
72,                                        Servisni tehničar za multifunkcijske uređaje (m/ž)                                    ,"Konica Minolta Hrvatska – poslovna rješenja, d.o.o.",Split,18.01.2024.
73,                                        Junior IT specijalist (m/ž)                                    ,Mplus Croatia,Zagreb,15.01.2024.
74,                                        Stručnjak za podršku prodaji korisnicima (m/ž)                                    ,Hrvatski Telekom,Zagreb,15.01.2024.
75,                                        Helpdesk tehničar (m/ž)                                    ,Axians Hrvatska d.o.o.,Zagreb,14.01.2024.
76,                                        Full Stack Web Developer (m/ž)                                    ,Code Vibe d.o.o,Split,13.01.2024.
77,                                        IT Implementation and Support Specialist (m/f)                                    ,DEKRA zapošljavanje d.o.o.,Zagreb,22.01.2024.
78,                                        Poslovni analitičar (m/ž)                                    ,Zagrebačka banka d.d.,Zagreb,19.01.2024.
